"issueId","severity","status","category","rawRecordId","url","currentH1","modelReference","recommendation"
"raw-001-missing-specification","medium","missing-specification","magnetic-separators","raw-001","https://cowinmachine.com/products/magnetic-separators/mag-rcyd-001","RCYD Automatic-Discharge Permanent Magnetic Separator","RCYD","Obtain approved model-specific specification data before a technical rewrite."
"raw-002-missing-specification","medium","missing-specification","magnetic-separators","raw-002","https://cowinmachine.com/products/magnetic-separators/mag-rcdd-002","RCDD Electromagnetic Magnetic Separator","RCDD","Obtain approved model-specific specification data before a technical rewrite."
"raw-003-missing-specification","medium","missing-specification","magnetic-separators","raw-003","https://cowinmachine.com/products/magnetic-separators/mag-rcyb-003","RCYB Permanent Magnetic Separator","RCYB","Obtain approved model-specific specification data before a technical rewrite."
"raw-004-missing-specification","medium","missing-specification","magnetic-separators","raw-004","https://cowinmachine.com/products/magnetic-separators/mag-rcdb-004","RCDB Electromagnetic Magnetic Separator","RCDB","Obtain approved model-specific specification data before a technical rewrite."
"raw-005-family-or-series","low","family-or-series","magnetic-separators","raw-005","https://cowinmachine.com/products/magnetic-separators/mag-series-005-005","Magnetic Separator","Series-005","Confirm page evidence and product identity with the owner."
"raw-005-generic-title-needs-identification","low","generic-title-needs-identification","magnetic-separators","raw-005","https://cowinmachine.com/products/magnetic-separators/mag-series-005-005","Magnetic Separator","Series-005","Request a manufacturer model or approved family designation."
"raw-005-missing-specification","medium","missing-specification","magnetic-separators","raw-005","https://cowinmachine.com/products/magnetic-separators/mag-series-005-005","Magnetic Separator","Series-005","Obtain approved model-specific specification data before a technical rewrite."
"raw-005-duplicate-or-near-duplicate","high","duplicate-or-near-duplicate","magnetic-separators","raw-005","https://cowinmachine.com/products/magnetic-separators/mag-series-005-005","Magnetic Separator","Series-005","Confirm whether this URL is a distinct SKU or consolidate it under a canonical family."
"raw-006-family-or-series","low","family-or-series","magnetic-separators","raw-006","https://cowinmachine.com/products/magnetic-separators/mag-series-006-006","Magnetic Separator","Series-006","Confirm page evidence and product identity with the owner."
"raw-006-generic-title-needs-identification","low","generic-title-needs-identification","magnetic-separators","raw-006","https://cowinmachine.com/products/magnetic-separators/mag-series-006-006","Magnetic Separator","Series-006","Request a manufacturer model or approved family designation."
"raw-006-missing-specification","medium","missing-specification","magnetic-separators","raw-006","https://cowinmachine.com/products/magnetic-separators/mag-series-006-006","Magnetic Separator","Series-006","Obtain approved model-specific specification data before a technical rewrite."
"raw-006-duplicate-or-near-duplicate","high","duplicate-or-near-duplicate","magnetic-separators","raw-006","https://cowinmachine.com/products/magnetic-separators/mag-series-006-006","Magnetic Separator","Series-006","Confirm whether this URL is a distinct SKU or consolidate it under a canonical family."
"raw-007-family-or-series","low","family-or-series","magnetic-separators","raw-007","https://cowinmachine.com/products/magnetic-separators/mag-series-007-007","Dry Drum Magnetic Separator","Series-007","Confirm page evidence and product identity with the owner."
"raw-007-generic-title-needs-identification","low","generic-title-needs-identification","magnetic-separators","raw-007","https://cowinmachine.com/products/magnetic-separators/mag-series-007-007","Dry Drum Magnetic Separator","Series-007","Request a manufacturer model or approved family designation."
"raw-007-missing-specification","medium","missing-specification","magnetic-separators","raw-007","https://cowinmachine.com/products/magnetic-separators/mag-series-007-007","Dry Drum Magnetic Separator","Series-007","Obtain approved model-specific specification data before a technical rewrite."
"raw-008-family-or-series","low","family-or-series","magnetic-separators","raw-008","https://cowinmachine.com/products/magnetic-separators/mag-series-008-008","Wet Drum Magnetic Separator","Series-008","Confirm page evidence and product identity with the owner."
"raw-008-generic-title-needs-identification","low","generic-title-needs-identification","magnetic-separators","raw-008","https://cowinmachine.com/products/magnetic-separators/mag-series-008-008","Wet Drum Magnetic Separator","Series-008","Request a manufacturer model or approved family designation."
"raw-008-missing-specification","medium","missing-specification","magnetic-separators","raw-008","https://cowinmachine.com/products/magnetic-separators/mag-series-008-008","Wet Drum Magnetic Separator","Series-008","Obtain approved model-specific specification data before a technical rewrite."
"raw-009-family-or-series","low","family-or-series","magnetic-separators","raw-009","https://cowinmachine.com/products/magnetic-separators/mag-series-009-009","Magnetic Separator","Series-009","Confirm page evidence and product identity with the owner."
"raw-009-generic-title-needs-identification","low","generic-title-needs-identification","magnetic-separators","raw-009","https://cowinmachine.com/products/magnetic-separators/mag-series-009-009","Magnetic Separator","Series-009","Request a manufacturer model or approved family designation."
"raw-009-missing-specification","medium","missing-specification","magnetic-separators","raw-009","https://cowinmachine.com/products/magnetic-separators/mag-series-009-009","Magnetic Separator","Series-009","Obtain approved model-specific specification data before a technical rewrite."
