"canonicalId","category","family","model","currentUrls","primary","secondary","longTail","buyerIntent"
"cp-001-magnetic-separators-rcyd","magnetic-separators","Automatic-Discharge Permanent Magnetic Separator","RCYD","https://cowinmachine.com/products/magnetic-separators/mag-rcyd-001","magnetic separator | permanent magnetic separator | magnetic pulley | magnetic roller","magnetic pulley | magnetic roller | magnetic filter | magnetic grid | magnetic rod | magnetic trap | electromagnetic separator | suspended magnetic separator | self-cleaning magnetic separator | self-unloading magnetic separator","rcyd magnetic separator | rcyd specifications | rcyd automatic-discharge permanent magnetic separator for industrial projects","tramp iron removal | mineral processing magnetic separation | recycling sorting equipment"
"cp-002-magnetic-separators-rcdd","magnetic-separators","Electromagnetic Magnetic Separator","RCDD","https://cowinmachine.com/products/magnetic-separators/mag-rcdd-002","magnetic separator | permanent magnetic separator | electromagnetic separator | magnetic pulley","electromagnetic separator | magnetic pulley | magnetic roller | magnetic filter | magnetic grid | magnetic rod | magnetic trap | suspended magnetic separator | self-cleaning magnetic separator | self-unloading magnetic separator","rcdd magnetic separator | rcdd specifications | rcdd electromagnetic magnetic separator for industrial projects","tramp iron removal | mineral processing magnetic separation | recycling sorting equipment"
"cp-003-magnetic-separators-rcyb","magnetic-separators","Permanent Magnetic Separator","RCYB","https://cowinmachine.com/products/magnetic-separators/mag-rcyb-003","magnetic separator | permanent magnetic separator | magnetic pulley | magnetic roller","magnetic pulley | magnetic roller | magnetic filter | magnetic grid | magnetic rod | magnetic trap | electromagnetic separator | suspended magnetic separator | self-cleaning magnetic separator | self-unloading magnetic separator","rcyb magnetic separator | rcyb specifications | rcyb permanent magnetic separator for industrial projects","tramp iron removal | mineral processing magnetic separation | recycling sorting equipment"
"cp-004-magnetic-separators-rcdb","magnetic-separators","Electromagnetic Magnetic Separator","RCDB","https://cowinmachine.com/products/magnetic-separators/mag-rcdb-004","magnetic separator | permanent magnetic separator | electromagnetic separator | magnetic pulley","electromagnetic separator | magnetic pulley | magnetic roller | magnetic filter | magnetic grid | magnetic rod | magnetic trap | suspended magnetic separator | self-cleaning magnetic separator | self-unloading magnetic separator","rcdb magnetic separator | rcdb specifications | rcdb electromagnetic magnetic separator for industrial projects","tramp iron removal | mineral processing magnetic separation | recycling sorting equipment"
"cp-005-magnetic-separators-magnetic-separator","magnetic-separators","Magnetic Separator","","https://cowinmachine.com/products/magnetic-separators/mag-series-005-005 | https://cowinmachine.com/products/magnetic-separators/mag-series-006-006 | https://cowinmachine.com/products/magnetic-separators/mag-series-009-009 | https://cowinmachine.com/products/magnetic-separators/mag-series-010-010 | https://cowinmachine.com/products/magnetic-separators/mag-series-011-011 | https://cowinmachine.com/products/magnetic-separators/mag-series-016-016 | https://cowinmachine.com/products/magnetic-separators/mag-series-033-033 | https://cowinmachine.com/products/magnetic-separators/mag-series-040-040 | https://cowinmachine.com/products/magnetic-separators/mag-series-045-045 | https://cowinmachine.com/products/magnetic-separators/mag-series-047-047 | https://cowinmachine.com/products/magnetic-separators/mag-series-048-048 | https://cowinmachine.com/products/magnetic-separators/mag-series-049-049 | https://cowinmachine.com/products/magnetic-separators/mag-series-050-050 | https://cowinmachine.com/products/magnetic-separators/mag-series-051-051 | https://cowinmachine.com/products/magnetic-separators/mag-series-052-052 | https://cowinmachine.com/products/magnetic-separators/mag-series-061-061 | https://cowinmachine.com/products/magnetic-separators/mag-series-062-062 | https://cowinmachine.com/products/magnetic-separators/mag-series-064-064 | https://cowinmachine.com/products/magnetic-separators/mag-series-065-065 | https://cowinmachine.com/products/magnetic-separators/mag-series-070-070 | https://cowinmachine.com/products/magnetic-separators/mag-series-074-074 | https://cowinmachine.com/products/magnetic-separators/mag-series-075-075 | https://cowinmachine.com/products/magnetic-separators/mag-series-076-076 | https://cowinmachine.com/products/magnetic-separators/mag-series-077-077 | https://cowinmachine.com/products/magnetic-separators/mag-series-078-078 | https://cowinmachine.com/products/magnetic-separators/mag-series-079-079 | https://cowinmachine.com/products/magnetic-separators/mag-series-081-081 | https://cowinmachine.com/products/magnetic-separators/mag-series-082-082","magnetic separator | permanent magnetic separator | magnetic pulley | magnetic roller","magnetic pulley | magnetic roller | magnetic filter | magnetic grid | magnetic rod | magnetic trap | electromagnetic separator | suspended magnetic separator | self-cleaning magnetic separator | self-unloading magnetic separator","magnetic separator for industrial projects","tramp iron removal | mineral processing magnetic separation | recycling sorting equipment"
"cp-006-magnetic-separators-dry-drum-magnetic-separator","magnetic-separators","Dry Drum Magnetic Separator","","https://cowinmachine.com/products/magnetic-separators/mag-series-007-007","magnetic separator | permanent magnetic separator | dry drum magnetic separator | dry magnetic separator","dry drum magnetic separator | dry magnetic separator | magnetic pulley | magnetic roller | magnetic filter | magnetic grid | magnetic rod | magnetic trap | electromagnetic separator | suspended magnetic separator | self-cleaning magnetic separator | self-unloading magnetic separator","dry drum magnetic separator for industrial projects","tramp iron removal | mineral processing magnetic separation | recycling sorting equipment"
"cp-007-magnetic-separators-wet-drum-magnetic-separator","magnetic-separators","Wet Drum Magnetic Separator","","https://cowinmachine.com/products/magnetic-separators/mag-series-008-008","magnetic separator | permanent magnetic separator | wet drum magnetic separator | wet magnetic separator","wet drum magnetic separator | wet magnetic separator | magnetic pulley | magnetic roller | magnetic filter | magnetic grid | magnetic rod | magnetic trap | electromagnetic separator | suspended magnetic separator | self-cleaning magnetic separator | self-unloading magnetic separator","wet drum magnetic separator for industrial projects","tramp iron removal | mineral processing magnetic separation | recycling sorting equipment"
"cp-008-magnetic-separators-wet-magnetic-separator","magnetic-separators","Wet Magnetic Separator","","https://cowinmachine.com/products/magnetic-separators/mag-series-012-012 | https://cowinmachine.com/products/magnetic-separators/mag-series-013-013 | https://cowinmachine.com/products/magnetic-separators/mag-series-034-034 | https://cowinmachine.com/products/magnetic-separators/mag-series-035-035 | https://cowinmachine.com/products/magnetic-separators/mag-series-038-038 | https://cowinmachine.com/products/magnetic-separators/mag-series-039-039 | https://cowinmachine.com/products/magnetic-separators/mag-series-041-041 | https://cowinmachine.com/products/magnetic-separators/mag-series-043-043 | https://cowinmachine.com/products/magnetic-separators/mag-series-044-044 | https://cowinmachine.com/products/magnetic-separators/mag-series-066-066 | https://cowinmachine.com/products/magnetic-separators/mag-series-068-068","magnetic separator | permanent magnetic separator | wet drum magnetic separator | wet magnetic separator","wet drum magnetic separator | wet magnetic separator | magnetic pulley | magnetic roller | magnetic filter | magnetic grid | magnetic rod | magnetic trap | electromagnetic separator | suspended magnetic separator | self-cleaning magnetic separator | self-unloading magnetic separator","wet magnetic separator for industrial projects","tramp iron removal | mineral processing magnetic separation | recycling sorting equipment"
"cp-009-magnetic-separators-drum-magnetic-separator","magnetic-separators","Drum Magnetic Separator","","https://cowinmachine.com/products/magnetic-separators/mag-series-014-014 | https://cowinmachine.com/products/magnetic-separators/mag-series-017-017 | https://cowinmachine.com/products/magnetic-separators/mag-series-018-018 | https://cowinmachine.com/products/magnetic-separators/mag-series-025-025 | https://cowinmachine.com/products/magnetic-separators/mag-series-059-059","magnetic separator | permanent magnetic separator | magnetic pulley | magnetic roller","magnetic pulley | magnetic roller | magnetic filter | magnetic grid | magnetic rod | magnetic trap | electromagnetic separator | suspended magnetic separator | self-cleaning magnetic separator | self-unloading magnetic separator","drum magnetic separator for industrial projects","tramp iron removal | mineral processing magnetic separation | recycling sorting equipment"
"cp-010-magnetic-separators-dry-magnetic-separator","magnetic-separators","Dry Magnetic Separator","","https://cowinmachine.com/products/magnetic-separators/mag-series-015-015 | https://cowinmachine.com/products/magnetic-separators/mag-series-036-036 | https://cowinmachine.com/products/magnetic-separators/mag-series-046-046","magnetic separator | permanent magnetic separator | dry drum magnetic separator | dry magnetic separator","dry drum magnetic separator | dry magnetic separator | magnetic pulley | magnetic roller | magnetic filter | magnetic grid | magnetic rod | magnetic trap | electromagnetic separator | suspended magnetic separator | self-cleaning magnetic separator | self-unloading magnetic separator","dry magnetic separator for industrial projects","tramp iron removal | mineral processing magnetic separation | recycling sorting equipment"
"cp-011-magnetic-separators-rcda","magnetic-separators","Electromagnetic Magnetic Separator","RCDA","https://cowinmachine.com/products/magnetic-separators/mag-rcda-019","magnetic separator | permanent magnetic separator | electromagnetic separator | magnetic pulley","electromagnetic separator | magnetic pulley | magnetic roller | magnetic filter | magnetic grid | magnetic rod | magnetic trap | suspended magnetic separator | self-cleaning magnetic separator | self-unloading magnetic separator","rcda magnetic separator | rcda specifications | rcda electromagnetic magnetic separator for industrial projects","tramp iron removal | mineral processing magnetic separation | recycling sorting equipment"
"cp-012-magnetic-separators-rcdc","magnetic-separators","Automatic-Discharge Electromagnetic Magnetic Separator","RCDC","https://cowinmachine.com/products/magnetic-separators/mag-rcdc-020","magnetic separator | permanent magnetic separator | electromagnetic separator | magnetic pulley","electromagnetic separator | magnetic pulley | magnetic roller | magnetic filter | magnetic grid | magnetic rod | magnetic trap | suspended magnetic separator | self-cleaning magnetic separator | self-unloading magnetic separator","rcdc magnetic separator | rcdc specifications | rcdc automatic-discharge electromagnetic magnetic separator for industrial projects","tramp iron removal | mineral processing magnetic separation | recycling sorting equipment"
"cp-013-magnetic-separators-rcde","magnetic-separators","Electromagnetic Magnetic Separator","RCDE","https://cowinmachine.com/products/magnetic-separators/mag-rcde-021","magnetic separator | permanent magnetic separator | electromagnetic separator | magnetic pulley","electromagnetic separator | magnetic pulley | magnetic roller | magnetic filter | magnetic grid | magnetic rod | magnetic trap | suspended magnetic separator | self-cleaning magnetic separator | self-unloading magnetic separator","rcde magnetic separator | rcde specifications | rcde electromagnetic magnetic separator for industrial projects","tramp iron removal | mineral processing magnetic separation | recycling sorting equipment"
"cp-014-magnetic-separators-rcdf","magnetic-separators","Automatic-Discharge Electromagnetic Magnetic Separator","RCDF","https://cowinmachine.com/products/magnetic-separators/mag-rcdf-022","magnetic separator | permanent magnetic separator | electromagnetic separator | magnetic pulley","electromagnetic separator | magnetic pulley | magnetic roller | magnetic filter | magnetic grid | magnetic rod | magnetic trap | suspended magnetic separator | self-cleaning magnetic separator | self-unloading magnetic separator","rcdf magnetic separator | rcdf specifications | rcdf automatic-discharge electromagnetic magnetic separator for industrial projects","tramp iron removal | mineral processing magnetic separation | recycling sorting equipment"
"cp-015-magnetic-separators-rcdfj","magnetic-separators","Automatic-Discharge Electromagnetic Magnetic Separator","RCDFJ","https://cowinmachine.com/products/magnetic-separators/mag-rcdfj-023","magnetic separator | permanent magnetic separator | electromagnetic separator | magnetic pulley","electromagnetic separator | magnetic pulley | magnetic roller | magnetic filter | magnetic grid | magnetic rod | magnetic trap | suspended magnetic separator | self-cleaning magnetic separator | self-unloading magnetic separator","rcdfj magnetic separator | rcdfj specifications | rcdfj automatic-discharge electromagnetic magnetic separator for industrial projects","tramp iron removal | mineral processing magnetic separation | recycling sorting equipment"
"cp-016-magnetic-separators-rcps","magnetic-separators","Automatic-Discharge Permanent Magnetic Separator","RCPS","https://cowinmachine.com/products/magnetic-separators/mag-rcps-024","magnetic separator | permanent magnetic separator | magnetic pulley | magnetic roller","magnetic pulley | magnetic roller | magnetic filter | magnetic grid | magnetic rod | magnetic trap | electromagnetic separator | suspended magnetic separator | self-cleaning magnetic separator | self-unloading magnetic separator","rcps magnetic separator | rcps specifications | rcps automatic-discharge permanent magnetic separator for industrial projects","tramp iron removal | mineral processing magnetic separation | recycling sorting equipment"
