canonicalId,category,productFamily,model,auditStatus,industries,applicationSearchTerms,buyerSelectionFactors,publicationStatus
cp-065-compressed-air-equipment-zd10lg-8,compressed-air-equipment,Electric Screw Air Compressor,ZD10LG-8,verified-model,mining and quarrying | water well drilling | rock drilling and blasting | road and infrastructure construction | manufacturing workshops | shipyards | equipment rental,Electric Screw Air Compressor | ZD10LG-8 | ZD10LG-8 Electric Screw Air Compressor | industrial air compressor | compressed air equipment | pressure and free-air-delivery selection | screw air compressor | electric screw air compressor | variable-speed screw air compressor | VSD air compressor | stationary screw air compressor | zd10lg-8 screw air compressor | zd10lg-8 specifications | zd10lg-8 electric screw air compressor for industrial projects | free air delivery | working pressure | airend | air compressor maintenance,"required working pressure at the point of use | free-air-delivery demand and demand variation | electric versus diesel power availability | stationary versus portable installation | air quality, moisture and filtration requirement | ambient conditions, access and maintenance plan",requires-owner-confirmation
cp-066-compressed-air-equipment-zd10lv-8,compressed-air-equipment,Screw Air Compressor,ZD10LV-8,verified-model,mining and quarrying | water well drilling | rock drilling and blasting | road and infrastructure construction | manufacturing workshops | shipyards | equipment rental,Screw Air Compressor | ZD10LV-8 | ZD10LV-8 Screw Air Compressor | industrial air compressor | compressed air equipment | pressure and free-air-delivery selection | screw air compressor | electric screw air compressor | variable-speed screw air compressor | VSD air compressor | stationary screw air compressor | zd10lv-8 screw air compressor | zd10lv-8 specifications | zd10lv-8 screw air compressor for industrial projects | free air delivery | working pressure | airend | air compressor maintenance,"required working pressure at the point of use | free-air-delivery demand and demand variation | electric versus diesel power availability | stationary versus portable installation | air quality, moisture and filtration requirement | ambient conditions, access and maintenance plan",requires-owner-confirmation
cp-068-compressed-air-equipment-zd20,compressed-air-equipment,Variable-Speed Screw Air Compressor,ZD20,requires-owner-confirmation,mining and quarrying | water well drilling | rock drilling and blasting | road and infrastructure construction | manufacturing workshops | shipyards | equipment rental,Variable-Speed Screw Air Compressor | ZD20 | ZD20 Variable-Speed Screw Air Compressor | industrial air compressor | compressed air equipment | pressure and free-air-delivery selection | screw air compressor | variable-speed screw air compressor | electric screw air compressor | VSD air compressor | stationary screw air compressor | zd20 screw air compressor | zd20 specifications | zd20 variable-speed screw air compressor for industrial projects | free air delivery | working pressure | airend | air compressor maintenance,"required working pressure at the point of use | free-air-delivery demand and demand variation | electric versus diesel power availability | stationary versus portable installation | air quality, moisture and filtration requirement | ambient conditions, access and maintenance plan",requires-owner-confirmation
cp-069-compressed-air-equipment-zd30,compressed-air-equipment,Screw Air Compressor,ZD30,verified-model,mining and quarrying | water well drilling | rock drilling and blasting | road and infrastructure construction | manufacturing workshops | shipyards | equipment rental,Screw Air Compressor | ZD30 | ZD30 Screw Air Compressor | industrial air compressor | compressed air equipment | pressure and free-air-delivery selection | screw air compressor | electric screw air compressor | variable-speed screw air compressor | VSD air compressor | stationary screw air compressor | zd30 screw air compressor | zd30 specifications | zd30 screw air compressor for industrial projects | free air delivery | working pressure | airend | air compressor maintenance,"required working pressure at the point of use | free-air-delivery demand and demand variation | electric versus diesel power availability | stationary versus portable installation | air quality, moisture and filtration requirement | ambient conditions, access and maintenance plan",requires-owner-confirmation
cp-070-compressed-air-equipment-zd50lv-8,compressed-air-equipment,Electric Portable Screw Air Compressor,ZD50LV-8,duplicate,mining and quarrying | water well drilling | rock drilling and blasting | road and infrastructure construction | manufacturing workshops | shipyards | equipment rental,Electric Portable Screw Air Compressor | ZD50LV-8 | ZD50LV-8 Electric Portable Screw Air Compressor | industrial air compressor | compressed air equipment | pressure and free-air-delivery selection | screw air compressor | electric screw air compressor | portable screw air compressor | variable-speed screw air compressor | VSD air compressor | stationary screw air compressor | zd50lv-8 screw air compressor | zd50lv-8 specifications | zd50lv-8 electric portable screw air compressor for industrial projects | free air delivery | working pressure | airend | air compressor maintenance,"required working pressure at the point of use | free-air-delivery demand and demand variation | electric versus diesel power availability | stationary versus portable installation | air quality, moisture and filtration requirement | ambient conditions, access and maintenance plan",requires-owner-confirmation
cp-071-compressed-air-equipment-kylc-18,compressed-air-equipment,Electric Portable Screw Air Compressor,KYLC-18,verified-model,mining and quarrying | water well drilling | rock drilling and blasting | road and infrastructure construction | manufacturing workshops | shipyards | equipment rental,Electric Portable Screw Air Compressor | KYLC-18 | KYLC-18 Electric Portable Screw Air Compressor | industrial air compressor | compressed air equipment | pressure and free-air-delivery selection | screw air compressor | electric screw air compressor | portable screw air compressor | variable-speed screw air compressor | VSD air compressor | stationary screw air compressor | kylc-18 screw air compressor | kylc-18 specifications | kylc-18 electric portable screw air compressor for industrial projects | free air delivery | working pressure | airend | air compressor maintenance,"required working pressure at the point of use | free-air-delivery demand and demand variation | electric versus diesel power availability | stationary versus portable installation | air quality, moisture and filtration requirement | ambient conditions, access and maintenance plan",requires-owner-confirmation
cp-072-compressed-air-equipment-zdy75d-7,compressed-air-equipment,Electric Portable Screw Air Compressor,ZDY75D-7,verified-model,mining and quarrying | water well drilling | rock drilling and blasting | road and infrastructure construction | manufacturing workshops | shipyards | equipment rental,Electric Portable Screw Air Compressor | ZDY75D-7 | ZDY75D-7 Electric Portable Screw Air Compressor | industrial air compressor | compressed air equipment | pressure and free-air-delivery selection | screw air compressor | electric screw air compressor | portable screw air compressor | variable-speed screw air compressor | VSD air compressor | stationary screw air compressor | zdy75d-7 screw air compressor | zdy75d-7 specifications | zdy75d-7 electric portable screw air compressor for industrial projects | free air delivery | working pressure | airend | air compressor maintenance,"required working pressure at the point of use | free-air-delivery demand and demand variation | electric versus diesel power availability | stationary versus portable installation | air quality, moisture and filtration requirement | ambient conditions, access and maintenance plan",requires-owner-confirmation
cp-073-compressed-air-equipment-zdy90d-7,compressed-air-equipment,Electric Portable Screw Air Compressor,ZDY90D-7,verified-model,mining and quarrying | water well drilling | rock drilling and blasting | road and infrastructure construction | manufacturing workshops | shipyards | equipment rental,Electric Portable Screw Air Compressor | ZDY90D-7 | ZDY90D-7 Electric Portable Screw Air Compressor | industrial air compressor | compressed air equipment | pressure and free-air-delivery selection | screw air compressor | electric screw air compressor | portable screw air compressor | variable-speed screw air compressor | VSD air compressor | stationary screw air compressor | zdy90d-7 screw air compressor | zdy90d-7 specifications | zdy90d-7 electric portable screw air compressor for industrial projects | free air delivery | working pressure | airend | air compressor maintenance,"required working pressure at the point of use | free-air-delivery demand and demand variation | electric versus diesel power availability | stationary versus portable installation | air quality, moisture and filtration requirement | ambient conditions, access and maintenance plan",requires-owner-confirmation
cp-074-compressed-air-equipment-zdy132d-8,compressed-air-equipment,Electric Screw Air Compressor,ZDY132D-8,verified-model,mining and quarrying | water well drilling | rock drilling and blasting | road and infrastructure construction | manufacturing workshops | shipyards | equipment rental,Electric Screw Air Compressor | ZDY132D-8 | ZDY132D-8 Electric Screw Air Compressor | industrial air compressor | compressed air equipment | pressure and free-air-delivery selection | screw air compressor | electric screw air compressor | variable-speed screw air compressor | VSD air compressor | stationary screw air compressor | zdy132d-8 screw air compressor | zdy132d-8 specifications | zdy132d-8 electric screw air compressor for industrial projects | free air delivery | working pressure | airend | air compressor maintenance,"required working pressure at the point of use | free-air-delivery demand and demand variation | electric versus diesel power availability | stationary versus portable installation | air quality, moisture and filtration requirement | ambient conditions, access and maintenance plan",requires-owner-confirmation
cp-075-compressed-air-equipment-zdcy-5-8,compressed-air-equipment,Diesel Portable Screw Air Compressor,ZDCY 5-8,duplicate,mining and quarrying | water well drilling | rock drilling and blasting | road and infrastructure construction | manufacturing workshops | shipyards | equipment rental,Diesel Portable Screw Air Compressor | ZDCY 5-8 | ZDCY 5-8 Diesel Portable Screw Air Compressor | industrial air compressor | compressed air equipment | pressure and free-air-delivery selection | screw air compressor | portable screw air compressor | diesel portable screw air compressor | diesel stationary screw air compressor | diesel piston air compressor | electric screw air compressor | variable-speed screw air compressor | VSD air compressor | stationary screw air compressor | zdcy 5-8 screw air compressor | zdcy 5-8 specifications | zdcy 5-8 diesel portable screw air compressor for industrial projects | free air delivery | working pressure | airend | air compressor maintenance,"required working pressure at the point of use | free-air-delivery demand and demand variation | electric versus diesel power availability | stationary versus portable installation | air quality, moisture and filtration requirement | ambient conditions, access and maintenance plan",requires-owner-confirmation
