sourceId,canonicalId,category,sourceName,organization,sourceType,url,accessedAt,evidenceSummary,confidence,useRestriction
SRC-CA-01,category-general,compressed-air-equipment,Compressed Air Systems,U.S. Department of Energy,government technical guidance,https://www.energy.gov/cmei/ito/compressed-air-systems,2026-08-14,"Identifies air quality, condensate removal, leak control, pressure stabilization, controls, storage and preventive maintenance as compressed-air system topics.",high,General system guidance only; no manufacturer product data or assets used.
SRC-GEN-01,category-general,generator-systems,"Generator Ratings: Prime, Standby Power and More",Caterpillar,manufacturer technical article,https://www.cat.com/en_GB/by-industry/electric-power/Articles/White-papers/understanding-generator-set-ratings.html,2026-08-14,"Explains duty concepts including emergency standby, prime, limited-time running and continuous operation in relation to ISO 8528-1 terminology.",high,"General rating definitions only; do not reuse Caterpillar models, data, graphics, certification or wording."
SRC-GEN-02,category-general,generator-systems,Commercial Generator Sizing,Caterpillar,manufacturer technical guide,https://www.cat.com/en_US/by-industry/electric-power/electric-power-resources/genset-sizing.html,2026-08-14,"Describes considering running and starting loads, voltage, frequency, phase, environmental derating, motor inrush and load steps during sizing.",high,"Selection-factor reference only; no calculator output, product data, images or copy reused."
SRC-DR-01,category-general,drilling-equipment | drilling-consumables,Quarrying,Epiroc,manufacturer application guidance,https://www.epiroc.com/en-ph/applications/construction/quarrying-and-surface-construction/quarrying,2026-08-14,"Links drilling pattern, geology, hole diameter and fragmentation requirements in quarry and surface-construction work, and notes DTH and tophammer use.",medium,"General application context only; no Epiroc model, branding, images, performance or customer content reused."
SRC-DR-02,category-general,drilling-equipment | drilling-consumables,DTH Equipment Product Catalogue,Epiroc,manufacturer technical catalogue,https://www.epiroc.com/content/dam/epiroc/rock-drilling-tools/documents/Epiroc%20DTH%20product%20catalog.pdf,2026-08-14,"Supports the generic principle that hammer, bit and hole geometry must be matched so cuttings can be evacuated; working pressure, interface and hole diameter are selection factors.",medium,"General DTH mechanism only. A matching-looking model code does not establish COWIN MACHINE manufacturer, compatibility or specification."
SRC-DR-03,category-general,drilling-equipment | drilling-consumables | compressed-air-equipment,Best Practices for Dust Control in Surface Drills,NIOSH / CDC,government safety guidance,https://www.cdc.gov/niosh/engcontrols/ecd/detail72.html,2026-08-14,"Describes drill dust generated by air flushing, dry or water-based control options, and the need to inspect shrouds, seals, filters and ducting.",high,Safety context only; site-specific controls must be engineered and comply with local law.
SRC-DR-04,category-general,drilling-equipment | drilling-consumables,Equipment Condition,Occupational Safety and Health Administration,government safety guidance,https://www.osha.gov/etools/oil-and-gas/general-safety/equipment-condition,2026-08-14,"Emphasizes correct pressure-rated equipment selection, matching parts, pre-start inspection, documented maintenance and manufacturer procedures.",high,Safety guidance only; it is not a product approval or operating manual.
SRC-LT-01,category-general,mobile-lighting-systems,Solar Energy and Storage Basics,U.S. Department of Energy / NREL,government technical guidance,https://www.energy.gov/cmei/systems/solar-integration-solar-energy-and-storage-basics,2026-08-14,"Explains that solar production varies with time, weather and shading; storage shifts energy use in time and energy capacity differs from power capacity.",high,General solar-and-storage principles only; no runtime or capacity is implied for any COWIN MACHINE product.
SRC-LT-02,category-general,mobile-lighting-systems,Hybrid LT-Series,Allmand,manufacturer product documentation,https://www.allmand.com/products/light-towers/hybrid-lt-series/,2026-08-14,"Confirms a generic mobile tower configuration can combine luminaires, mast, stabilizers, trailer, control system and diesel/battery operating modes.",medium,"Configuration reference only. No Allmand values, text, graphics, manual content, model names or commercial claims are reused."
SRC-LT-03,category-general,mobile-lighting-systems,Construction Illumination,Occupational Safety and Health Administration,government safety regulation,https://www.osha.gov/laws-regs/regulations/standardnumber/1926/1926.26,2026-08-14,"States that active construction areas, access routes, offices, shops and storage areas require natural or artificial illumination.",high,Use as a safety context only; local requirements and lighting design must be confirmed for the installation.
SRC-LT-04,category-general,mobile-lighting-systems,Battery Energy Storage System Procurement Checklist,U.S. Department of Energy,government procurement guidance,https://www.energy.gov/cmei/femp/articles/battery-energy-storage-system-procurement-checklist,2026-08-14,Shows that battery-storage procurement should use technical specifications and project checklists rather than an assumed generic configuration.,high,"Does not validate battery chemistry, capacity, runtime or safety certification for any product."
SRC-MS-01,category-general,magnetic-separators,Wet Drum Separators,Eriez,manufacturer technical page,https://www.eriez.com/Products/Magnetic-Separation/Magnetic-Processing-Concentration/Magnetic-Separation-Solutions-for-Wet-Minerals-Processing/Wet-Drum-Separators,2026-08-14,"Explains a generic wet-drum process in which slurry enters a tank, magnetic material is retained on a rotating drum and nonmagnetics exit separately; tank configuration influences the duty.",medium,"Generic working principle only; do not reuse Eriez performance, components, images or model statements."
SRC-MS-02,category-general,magnetic-separators,High Speed Drum Magnets,Eriez,manufacturer technical page,https://www.eriez.com/Products/Magnetic-Separation/Magnetic-Processing-Concentration/Magnetic-Separation-Solutions-for-Dry-Minerals-Processing/DF-High-Speed-Drum-Magnets,2026-08-14,"Supports the general dry-drum concept that magnetic attraction, gravity, drum speed and material trajectory influence dry separation.",medium,"Generic principle only; no competitor performance, model or imagery is reused."
SRC-MS-03,category-general,magnetic-separators,Suspended Electromagnets,Eriez,manufacturer technical page,https://www.eriez.com/Products/Magnetic-Separation/Magnetic-Separation-for-Tramp-Metal/Large-Magnetic-Separation/Suspended-Electromagnets,2026-08-14,"Describes conveyor-mounted removal of tramp metal and identifies belt width, speed, burden depth and material type as sizing considerations; self-cleaning configurations use a discharge belt.",medium,"General application framework only; no competitor capacity, efficiency, product or commercial claim is reused."
SRC-MS-04,category-general,magnetic-separators,Eddy Current Separators,Eriez,manufacturer technical page,https://www.eriez.com/Products/Metals-Recycling/Nonferrous-Recovery/Eddy-Current-Separators,2026-08-14,"Explains that a rotating magnetic rotor induces eddy currents in conductive nonferrous pieces, producing a repelling force that supports physical separation from nonmetals.",medium,"Generic mechanism only; no competitor recovery figures, product data, images or text reused."
SRC-MS-05,category-general,magnetic-separators,Metal Inclusion,U.S. Food and Drug Administration,government food-safety guidance,https://www.fda.gov/downloads/Food/GuidanceRegulation/UCM252440.pdf,2026-08-14,"Treats a magnet or other separation step as a possible control where metal inclusion is a significant hazard, within a documented hazard-analysis approach.",high,"Does not establish food-grade construction, validation, certification or suitability for any COWIN MACHINE product."
SRC-CURRENT-cp-001-magnetic-separators-rcyd-1,cp-001-magnetic-separators-rcyd,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-rcyd-001,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-002-magnetic-separators-rcdd-1,cp-002-magnetic-separators-rcdd,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-rcdd-002,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-003-magnetic-separators-rcyb-1,cp-003-magnetic-separators-rcyb,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-rcyb-003,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
SRC-CURRENT-cp-004-magnetic-separators-rcdb-1,cp-004-magnetic-separators-rcdb,magnetic-separators,COWIN MACHINE public product record,COWIN MACHINE public website,current-site audit evidence,https://cowinmachine.com/products/magnetic-separators/mag-rcdb-004,2026-08-14,"Current URL, H1/model reference and visible specification table captured in the preceding product audit. This is traceability evidence, not independent manufacturer verification.",low,Do not treat as authoritative model documentation until the owner supplies approved manufacturer evidence.
