category,productName,productUrl,canonicalId,modelReference,pageStatus,auditStatus,reviewReason,imageStatus,parameterStatus
"magnetic-separators","RCYD Automatic-Discharge Permanent Magnetic Separator","/products/magnetic-separators/mag-rcyd-001","cp-001-magnetic-separators-rcyd","RCYD","configuration-review","requires-owner-confirmation","Audit status: requires-owner-confirmation.","Authorized project image available","Request verified specifications"
"magnetic-separators","RCDD Electromagnetic Magnetic Separator","/products/magnetic-separators/mag-rcdd-002","cp-002-magnetic-separators-rcdd","RCDD","configuration-review","requires-owner-confirmation","Audit status: requires-owner-confirmation.","Authorized project image available","Request verified specifications"
"magnetic-separators","RCYB Permanent Magnetic Separator","/products/magnetic-separators/mag-rcyb-003","cp-003-magnetic-separators-rcyb","RCYB","configuration-review","requires-owner-confirmation","Audit status: requires-owner-confirmation.","Authorized project image available","Request verified specifications"
"magnetic-separators","RCDB Electromagnetic Magnetic Separator","/products/magnetic-separators/mag-rcdb-004","cp-004-magnetic-separators-rcdb","RCDB","configuration-review","requires-owner-confirmation","Audit status: requires-owner-confirmation.","Authorized project image available","Request verified specifications"
"magnetic-separators","Magnetic Separator","/products/magnetic-separators/mag-series-005-005","cp-005-magnetic-separators-magnetic-separator","Series-005","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Magnetic Separator","/products/magnetic-separators/mag-series-006-006","cp-005-magnetic-separators-magnetic-separator","Series-006","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Dry Drum Magnetic Separator","/products/magnetic-separators/mag-series-007-007","cp-006-magnetic-separators-dry-drum-magnetic-separator","Series-007","configuration-review","generic-series","Audit status: generic-series.","Authorized project image available","Request verified specifications"
"magnetic-separators","Wet Drum Magnetic Separator","/products/magnetic-separators/mag-series-008-008","cp-007-magnetic-separators-wet-drum-magnetic-separator","Series-008","configuration-review","generic-series","Audit status: generic-series.","Authorized project image available","Request verified specifications"
"magnetic-separators","Magnetic Separator","/products/magnetic-separators/mag-series-009-009","cp-005-magnetic-separators-magnetic-separator","Series-009","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Magnetic Separator","/products/magnetic-separators/mag-series-010-010","cp-005-magnetic-separators-magnetic-separator","Series-010","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Magnetic Separator","/products/magnetic-separators/mag-series-011-011","cp-005-magnetic-separators-magnetic-separator","Series-011","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Wet Magnetic Separator","/products/magnetic-separators/mag-series-012-012","cp-008-magnetic-separators-wet-magnetic-separator","Series-012","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Wet Magnetic Separator","/products/magnetic-separators/mag-series-013-013","cp-008-magnetic-separators-wet-magnetic-separator","Series-013","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Drum Magnetic Separator","/products/magnetic-separators/mag-series-014-014","cp-009-magnetic-separators-drum-magnetic-separator","Series-014","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Dry Magnetic Separator","/products/magnetic-separators/mag-series-015-015","cp-010-magnetic-separators-dry-magnetic-separator","Series-015","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Magnetic Separator","/products/magnetic-separators/mag-series-016-016","cp-005-magnetic-separators-magnetic-separator","Series-016","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Drum Magnetic Separator","/products/magnetic-separators/mag-series-017-017","cp-009-magnetic-separators-drum-magnetic-separator","Series-017","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Drum Magnetic Separator","/products/magnetic-separators/mag-series-018-018","cp-009-magnetic-separators-drum-magnetic-separator","Series-018","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","RCDA Electromagnetic Magnetic Separator","/products/magnetic-separators/mag-rcda-019","cp-011-magnetic-separators-rcda","RCDA","configuration-review","requires-owner-confirmation","Audit status: requires-owner-confirmation.","Authorized project image available","Request verified specifications"
"magnetic-separators","RCDC Automatic-Discharge Electromagnetic Magnetic Separator","/products/magnetic-separators/mag-rcdc-020","cp-012-magnetic-separators-rcdc","RCDC","configuration-review","requires-owner-confirmation","Audit status: requires-owner-confirmation.","Authorized project image available","Request verified specifications"
"magnetic-separators","RCDE Electromagnetic Magnetic Separator","/products/magnetic-separators/mag-rcde-021","cp-013-magnetic-separators-rcde","RCDE","configuration-review","requires-owner-confirmation","Audit status: requires-owner-confirmation.","Authorized project image available","Request verified specifications"
"magnetic-separators","RCDF Automatic-Discharge Electromagnetic Magnetic Separator","/products/magnetic-separators/mag-rcdf-022","cp-014-magnetic-separators-rcdf","RCDF","configuration-review","requires-owner-confirmation","Audit status: requires-owner-confirmation.","Authorized project image available","Request verified specifications"
"magnetic-separators","RCDFJ Automatic-Discharge Electromagnetic Magnetic Separator","/products/magnetic-separators/mag-rcdfj-023","cp-015-magnetic-separators-rcdfj","RCDFJ","configuration-review","requires-owner-confirmation","Audit status: requires-owner-confirmation.","Authorized project image available","Request verified specifications"
"magnetic-separators","RCPS Automatic-Discharge Permanent Magnetic Separator","/products/magnetic-separators/mag-rcps-024","cp-016-magnetic-separators-rcps","RCPS","configuration-review","requires-owner-confirmation","Audit status: requires-owner-confirmation.","Authorized project image available","Request verified specifications"
"magnetic-separators","Drum Magnetic Separator","/products/magnetic-separators/mag-series-025-025","cp-009-magnetic-separators-drum-magnetic-separator","Series-025","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","RCYA Permanent Magnetic Separator","/products/magnetic-separators/mag-rcya-026","cp-017-magnetic-separators-rcya","RCYA","configuration-review","requires-owner-confirmation","Audit status: requires-owner-confirmation.","Authorized project image available","Request verified specifications"
"magnetic-separators","RCYDII Automatic-Discharge Permanent Magnetic Separator","/products/magnetic-separators/mag-rcydii-027","cp-018-magnetic-separators-rcydii","RCYDII","configuration-review","requires-owner-confirmation","Audit status: requires-owner-confirmation.","Authorized project image available","Request verified specifications"
"magnetic-separators","RCYE Automatic-Discharge Permanent Magnetic Separator","/products/magnetic-separators/mag-rcye-028","cp-019-magnetic-separators-rcye","RCYE","configuration-review","requires-owner-confirmation","Audit status: requires-owner-confirmation.","Authorized project image available","Request verified specifications"
"magnetic-separators","RCYF Permanent Magnetic Separator","/products/magnetic-separators/mag-rcyf-029","cp-020-magnetic-separators-rcyf","RCYF","configuration-review","requires-owner-confirmation","Audit status: requires-owner-confirmation.","Authorized project image available","Request verified specifications"
"magnetic-separators","RCYG Automatic-Discharge Permanent Magnetic Separator","/products/magnetic-separators/mag-rcyg-030","cp-021-magnetic-separators-rcyg","RCYG","configuration-review","requires-owner-confirmation","Audit status: requires-owner-confirmation.","Authorized project image available","Request verified specifications"
"magnetic-separators","RCYP Automatic-Discharge Manual-Clean Permanent Magnetic Separator","/products/magnetic-separators/mag-rcyp-031","cp-022-magnetic-separators-rcyp","RCYP","configuration-review","requires-owner-confirmation","Audit status: requires-owner-confirmation.","Authorized project image available","Request verified specifications"
"magnetic-separators","RCYZ Permanent Magnetic Separator","/products/magnetic-separators/mag-rcyz-032","cp-023-magnetic-separators-rcyz","RCYZ","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Magnetic Separator","/products/magnetic-separators/mag-series-033-033","cp-005-magnetic-separators-magnetic-separator","Series-033","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Wet Magnetic Separator","/products/magnetic-separators/mag-series-034-034","cp-008-magnetic-separators-wet-magnetic-separator","Series-034","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Wet Magnetic Separator","/products/magnetic-separators/mag-series-035-035","cp-008-magnetic-separators-wet-magnetic-separator","Series-035","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Dry Magnetic Separator","/products/magnetic-separators/mag-series-036-036","cp-010-magnetic-separators-dry-magnetic-separator","Series-036","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Wet Plate Magnetic Separator","/products/magnetic-separators/mag-series-037-037","cp-024-magnetic-separators-wet-plate-magnetic-separator","Series-037","configuration-review","generic-series","Audit status: generic-series.","Authorized project image available","Request verified specifications"
"magnetic-separators","Wet Magnetic Separator","/products/magnetic-separators/mag-series-038-038","cp-008-magnetic-separators-wet-magnetic-separator","Series-038","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Wet Magnetic Separator","/products/magnetic-separators/mag-series-039-039","cp-008-magnetic-separators-wet-magnetic-separator","Series-039","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
"magnetic-separators","Magnetic Separator","/products/magnetic-separators/mag-series-040-040","cp-005-magnetic-separators-magnetic-separator","Series-040","configuration-review","duplicate","Audit status: duplicate.","Authorized project image available","Request verified specifications"
